CellID,X,Y,cluster_name
421,4246.112793,695.4641724,Tcyt
422,2696.274902,696.213562,TAM
423,3489.338379,695.4541626,IDO-1+ Tumor APCs
424,2265.549561,697.3613281,Proliferating Tumor APCs
425,2583.905518,698.3529663,TAM
426,2854.646484,698.8239136,TAM
427,3087.325928,697.5922852,Proliferating Tumor APCs
428,4415.369141,698.5197754,None Artefacts
429,3342.650146,700.9491577,IDO-1+ Tumor APCs
430,3864.797852,700.6616821,APC T help
431,3217.205811,700.3171997,Inflammatory Monocytes
432,3248.423828,701.1754761,Proliferative MPs
433,4478.96582,703.1090698,None Artefacts
434,3185.51001,704.0947876,Proliferating Tumor APCs
435,2444.846924,704.5335083,CD31+TAM
436,2973.26416,704.1419067,IDO-1+ Tumor APCs
437,2478.065186,705.652771,IDO-1+ Tumor APCs
438,1939.066772,706.3126831,APC T help
439,4578.416504,707.2166748,None Artefacts
440,2178.402344,706.831543,IDO-1+ Tumor APCs
441,2295.6875,708.2122803,IDO-1+ Tumor APCs
442,3012.451416,709.1741943,Proliferating Tumor APCs
443,4437.596191,709.9420776,None Artefacts
444,2648.197021,710.3969116,B cells
445,2818.940674,711.8376465,IDO-1+ Tumor APCs
446,3293.419922,711.4418945,None2 Immune/cancer Artefacts
447,2252.470703,712.2588501,IDO-1+ Tumor APCs
448,4134.522949,711.8811646,CD31+TAM
449,1973.876709,714.4071045,APC T help
450,3540.909424,713.0967407,CD31+TAM
451,2143.057617,715.161438,APC T help
452,3509.647217,715.8449097,IDO-1+ Tumor APCs
453,2565.196777,716.9485474,IDO-1+ Tumor APCs
454,4262.929199,716.7290039,B cells
455,3759.371094,715.5297852,IDO-1+ Tumor APCs
456,2010.672974,718.8065186,CD31+TAM
457,2880.333252,719.9005127,CD31+TAM
458,3227.90625,719.7516479,Endothelial
459,2434.280029,720.0324097,APC T help
460,2724.547119,719.0391846,IDO-1+ Tumor APCs
461,2034.773438,720.178772,Inflammatory Monocytes
462,2323.920898,721.3728638,CD31+TAM
463,2510.928223,721.0130615,Tumor APCs
464,3568.15625,720.762207,CD31+TAM
465,3651.89502,721.5571289,CD31+TAM
466,4009.253906,722.4819336,APC T help
467,2353.316162,722.8190308,CD31+TAM
468,2160.990723,724.0092163,None2 Immune/cancer Artefacts
469,3095.038574,723.6306763,IDO-1+ Tumor APCs
470,3161.870361,723.7098999,IDO-1+ Tumor APCs
471,1875.704346,724.2061157,APC T help
472,2408.836426,725.9591064,B cells
473,3825.90332,722.2909546,TAM
474,4048.175049,727.1279297,APC T help
475,1736.220825,730.7515259,Proliferative MPs
476,2845.830078,728.8135986,IDO-1+ Tumor APCs
477,3137.304932,728.2365112,IDO-1+ Tumor APCs
478,4458.200195,728.9938354,Treg
479,3278.133545,731.1031494,APC T help
480,1849.089722,730.8362427,B cells
481,2494.518311,732.6506958,Tumor APCs
482,3711.615234,732.0683594,CD31+TAM
483,4428.928711,733.5436401,Proliferative MPs
